participant_id,session_id,turn_number,condition,synchrony_lsm,synchrony_embedding,stability_score,coherence_score,user_style_vector,bot_style_vector
665ba6320399db768cb43621,c02acf37-af1c-4127-9329-163af75d67be,11,static,0.303357943728846,0.5018160939216614,0.6615612705844113,-0.7796263433875781,"[0.9844437837600708, 0.3182, 13.0, 92.12, 0, 0, 0, 0.3076923076923077]","[0.0004442711069714278, 0.7717, 14.0, 17.3, 0, 0, 0, 0.2857142857142857]"
665ba6320399db768cb43621,c02acf37-af1c-4127-9329-163af75d67be,12,static,0.2482045425043254,0.5315727591514587,0.5547923139044574,-0.2449507543441027,"[0.9983318448066711, 0, 6.0, 75.88, 0, 0, 0, 0.3333333333333333]","[0.000514099549036473, 0.802, 19.0, 54.52, 0, 0, 0, 0.3157894736842105]"
67d75f1ff8a898b755874144,5a438280-a41e-42f5-b125-7bd18af5fc98,1,static,0.6929989115033071,0.6626893281936646,,0.9169451829977504,"[0.20611470937728882, 0.6965, 7.5, 80.99, 0, 0, 0, 0.2]","[0.0025631249882280827, 0.923, 17.0, 81.93, 0, 0, 0, 0.4117647058823529]"
67d75f1ff8a898b755874144,5a438280-a41e-42f5-b125-7bd18af5fc98,2,static,0.6704077519114003,0.8844071626663208,0.6644037651869026,0.4375760036584075,"[0.13647814095020294, 0.802, 24.5, 68.1, 0, 0, 0, 0.2653061224489796]","[0.0007312715752050281, 0.958, 14.666666666666666, 75.5, 0, 0, 0, 0.3409090909090909]"
67d75f1ff8a898b755874144,5a438280-a41e-42f5-b125-7bd18af5fc98,3,static,0.7316720849401548,0.920376181602478,0.5947462909922087,0.5385591436843645,"[0.002337199868634343, 0.9287, 35.0, 54.05, 0, 0, 0, 0.22857142857142856]","[0.0008453646441921592, 0.9186, 19.0, 79.6, 0, 0, 0, 0.3333333333333333]"
67d75f1ff8a898b755874144,5a438280-a41e-42f5-b125-7bd18af5fc98,4,static,0.6054390955492245,0.8798568248748779,0.4713956328085309,-0.1130908413154427,"[0.4015895426273346, -0.5515, 42.0, 60.32, 0, 0, 0, 0.40476190476190477]","[0.0006097708828747272, 0.8899, 14.666666666666666, 75.2, 0, 0, 0, 0.29545454545454547]"
67d75f1ff8a898b755874144,5a438280-a41e-42f5-b125-7bd18af5fc98,5,static,0.9029081477413616,0.9308700561523438,0.6061141121281554,-0.6152367480288423,"[0.009922541677951813, 0.7357, 28.0, 64.04, 0, 0, 0, 0.30357142857142855]","[0.0010523770470172167, 0.8481, 13.666666666666666, 67.45, 0, 0, 0, 0.3170731707317073]"
67d75f1ff8a898b755874144,5a438280-a41e-42f5-b125-7bd18af5fc98,6,static,0.695721017533985,0.92392897605896,-0.3854151576894569,-0.0765957190542938,"[0.003678085980936885, -0.2732, 22.0, 52.19, 0, 0, 0, 0.2727272727272727]","[0.0010263054864481091, 0.9571, 21.0, 53.21, 0, 0, 0, 0.3333333333333333]"
67d75f1ff8a898b755874144,5a438280-a41e-42f5-b125-7bd18af5fc98,7,static,0.9175898930289396,0.8915615081787109,0.8401521922266892,-0.2108427191757114,"[0.0511690191924572, 0.9318, 16.333333333333332, 74.19, 0, 0, 0, 0.29591836734693877]","[0.003974721301347017, 0.9652, 21.333333333333332, 62.38, 0, 0, 0, 0.265625]"
67d75f1ff8a898b755874144,5a438280-a41e-42f5-b125-7bd18af5fc98,8,static,0.8013803617418702,0.9403309226036072,0.704456694754149,-0.203920633017081,"[0.0015456267865374684, 0.9652, 17.0, 65.32, 0, 0, 0, 0.24705882352941178]","[0.0010413784766569734, 0.9477, 17.666666666666668, 55.24, 0, 0, 0, 0.33962264150943394]"
